City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
467,Nieves,PH,79.16,broken clouds,15.3274,120.9485,Bill's Inn
472,Dondo,MZ,78.31,few clouds,-19.6094,34.7431,Arco Iris
473,Coolidge,US,81.7,clear sky,32.9778,-111.5176,Grande Vista Motel
475,Bani,DO,80.04,clear sky,18.2833,-70.3333,Hospedaje Henriquez
476,Miri,MY,77.14,light rain,4.4148,114.0089,"Mega Hotel, Miri"
484,Miranda,CO,75.33,overcast clouds,3.2499,-76.2281,unidiversidad organica la utopia
485,Lufilufi,WS,89.38,broken clouds,-13.8745,-171.5986,Leuaina Beach Resort and Spa
491,Mount Isa,AU,82.17,scattered clouds,-20.7333,139.5,ibis Styles Mt Isa Verona
493,Kimbe,PG,84.33,light rain,-5.5502,150.1429,Kimbe Bay Hotel
497,Maceio,BR,78.24,scattered clouds,-9.6658,-35.7353,Poutur Pousada
505,Mayumba,GA,77.5,overcast clouds,-3.432,10.6554,LIKWALE LODGE
506,Wukari,NG,77.09,few clouds,7.85,9.7833,Elimtop
508,Alamos,MX,84.4,overcast clouds,27.0167,-108.9333,Luz del Sol
513,Yaan,NG,82.45,overcast clouds,7.3833,8.5667,
515,Biak,ID,76.51,overcast clouds,-0.9131,122.8766,Penginapan Kim
520,Inirida,CO,81.12,overcast clouds,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
523,Galesong,ID,75.22,broken clouds,-5.3166,119.3661,Sapriadi Appy
524,Charters Towers,AU,79.84,clear sky,-20.1,146.2667,Cattleman's Rest Motor Inn
526,Pedernales,DO,77.63,clear sky,18.0384,-71.744,Hotel Costa Marina
530,Ridgecrest,US,76.01,clear sky,35.6225,-117.6709,SpringHill Suites by Marriott Ridgecrest
531,Alcantara,BR,82.6,light rain,-2.4089,-44.4147,Pousada da Josefa
532,Betioky,MG,77.43,scattered clouds,-23.7167,44.3833,Bungalows Acacias Hotel
534,Alberdi,AR,77.04,clear sky,-32.8899,-60.6906,Green House.river
535,Thinadhoo,MV,81.48,broken clouds,0.5333,72.9333,
536,Caxito,AO,77.65,overcast clouds,-8.5785,13.6643,
537,Itarema,BR,79.59,few clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
542,Souillac,MU,81.36,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
550,Limbang,MY,78.91,overcast clouds,4.75,115.0,Purnama Hotel
553,Labuhan,ID,75.52,light rain,-6.8844,112.2051,DoubleFAG
556,Auki,SB,77.36,overcast clouds,-8.7676,160.7034,Auki Motel
558,Moron,AR,76.98,clear sky,-34.6534,-58.6198,Hotel Morón
561,Garissa,KE,76.12,scattered clouds,-0.4536,39.6401,Sharif Plaza Hotel
564,Media Luna,CU,77.18,few clouds,20.1419,-77.435,Casa particular Pedro y Tamara
565,Puro,PH,78.73,overcast clouds,12.4841,123.3827,
566,Klaeng,TH,83.95,scattered clouds,12.7797,101.6483,สวัสดีการ์เดนท์รีสอร์ท
568,Victor Harbor,AU,80.73,broken clouds,-35.5667,138.6167,McCracken Country Club
572,Sola,VU,83.07,broken clouds,-13.8833,167.55,Leumerus Bungalows
579,Port Hedland,AU,84.25,clear sky,-20.3167,118.5667,"The Esplanade Hotel (Accommodation section closed for refurbishment - Bar, Restaurant & Functions remain open)"
581,Cockburn Town,TC,78.76,few clouds,21.4612,-71.1419,Osprey Beach Hotel
582,Namatanai,PG,83.77,overcast clouds,-3.6667,152.4333,Seagulls Inn Namatani
587,Lazaro Cardenas,MX,81.95,broken clouds,17.9583,-102.2,Baymont by Wyndham Lazaro Cardenas
599,Omboue,GA,77.86,overcast clouds,-1.5746,9.2618,Hotel Olako
