Weather_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
623,Tarare,FR,45.8976,4.4327,48.45,77,71,13.67,broken clouds
624,Evensk,RU,61.95,159.2333,1.58,72,24,9.22,few clouds
625,Jizan,SA,17.3333,42.6667,77.94,78,37,5.57,scattered clouds
626,Nexo,DK,55.0607,15.1306,39.29,84,100,24.02,overcast clouds
627,Cesme,TR,38.3228,26.3064,44.31,71,79,15.03,broken clouds
628,Springbok,ZA,-29.6643,17.8865,74.75,44,7,1.79,clear sky
629,Madimba,TZ,-10.4,40.3333,77.32,91,66,4.85,light rain
630,Chachapoyas,PE,-6.2317,-77.869,55.36,96,99,2.71,light rain
631,Daru,PG,-9.0763,143.2092,84.16,67,27,10.38,scattered clouds
632,Yulara,AU,-25.2406,130.9889,78.64,24,2,8.05,clear sky
633,Luderitz,NA,-26.6481,15.1594,71.6,66,0,9.91,clear sky
634,Husavik,IS,66.0449,-17.3389,4.91,78,75,16.24,broken clouds
635,Puerto Rondon,CO,6.2805,-71.1,83.46,41,82,4.0,broken clouds
636,Palauig,PH,15.435,119.9045,81.19,67,78,2.13,broken clouds
637,Tonantins,BR,-2.8731,-67.8022,73.31,99,100,0.11,moderate rain
638,Itoman,JP,26.1247,127.6694,64.78,94,75,20.71,moderate rain
639,Soe,ID,-9.8607,124.284,73.18,72,49,3.76,scattered clouds
640,Novopavlovka,RU,51.2172,109.2091,-27.36,100,42,3.29,scattered clouds
641,Nanortalik,GL,60.1432,-45.2371,24.8,95,100,24.81,snow
642,Qurayyat,SA,31.3318,37.3428,48.38,40,0,9.22,clear sky
643,Severo-Yeniseyskiy,RU,60.3725,93.0408,-22.34,99,41,4.36,scattered clouds
644,Salta,AR,-24.7859,-65.4117,66.49,77,100,5.75,overcast clouds
645,Weesp,NL,52.3075,5.0417,53.51,66,75,18.41,broken clouds
646,Hwange,ZW,-18.3693,26.5019,67.05,77,1,2.84,clear sky
647,Isangel,VU,-19.55,169.2667,85.08,71,89,10.09,overcast clouds
648,Capao Da Canoa,BR,-29.7456,-50.0097,69.8,93,100,1.68,overcast clouds
649,Matay,EG,28.419,30.7792,53.08,73,12,14.47,few clouds
650,Nisia Floresta,BR,-6.0911,-35.2086,83.21,75,1,11.81,clear sky
651,Mbini,GQ,1.574,9.6134,78.64,82,100,5.91,overcast clouds
652,Barranca,PE,-10.75,-77.7667,72.34,76,24,8.23,few clouds
653,Peleduy,RU,59.6289,112.7406,-28.12,100,92,0.47,overcast clouds
654,Presidente Medici,BR,-11.1753,-61.9014,72.64,97,100,2.26,overcast clouds
655,Suntar,RU,62.1444,117.6319,-17.3,100,100,1.63,overcast clouds
656,Terney,RU,45.0503,136.6092,17.13,71,54,8.59,broken clouds
